upvotes,title
247,Anyone else so disheartened by all the recent back sliding?
151,"As an adjunct who’s watched three years of I/O M.A. students struggle to find jobs, its a problem."
141,"US Executive Order calls for ending ""disparate impact liability"""
127,Harvard has revoked tenure from Francesca Gino
117,Job market is so bad
101,My People Analytics job hunt
92,SPSS is good enough for me and my job.
79,"Can we just admit it? I-O master’s programs have drifted into a direct continuation of the general psych B.A., promising that two more graduate years (on top of a four-year degree) will create an all-purpose “workplace scientist.” That pitch is unrealistic and predatory, and the programs know it."
61,Hiring People Analytics Analyst
59,Potentially Unpopular Opinion/Expressing Concern
61,Why does it seem that so many folks here are against the idea of pursuing IO?
58,Job Applicants Sue A.I. Recruitment Tool Company
55,Regretting my I/O MS; Can’t find work; Advice on next steps
53,What big things have we learned in the past 20 years?
53,Class of 2025/2026 - How can I help?
54,Truth of why nobody’s buying or investing in IO psych
50,Thoughts on the I-O certificate announced by SIOP?
53,Community Build: Practical Guide to Getting Your First Applied I/O Job
48,"Introducing the The Synthetic Nomological Net: A search engine to find 74,000+ scales in psychology"
52,Judge allows Workday AI bias lawsuit to proceed as collective action
49,"SIOP’s “Rule of Three” for thee, not for me?"
49,Do entry level opportunities in IO exist anymore?
47,You are cordially invited to the 4TH ANNUAL IO Psychology Discord Meetup
49,[OC] I/O Psychology Salary Before and After Adjustment for Cost Of Living by State
45,Ph.D. Holder Can't Find a Job
41,Sharing an applied IO role and hoping to reach more of the IO community
39,If I were pursuing an I-O program today…
38,Frustrations explaining what IO is
39,ODU removes IO programs
37,Can’t find my footing
39,Come work with me this summer at Roblox! People Science - PhD Internship
37,What areas of IO Psychology are you most passionate about and why?
32,"Poster accepted at SIOP, by reviewer feedback was clearly for a different submission"
31,Would you take this job as an I-O psych grad?
32,Feeling Stuck/Unhireable
29,Welp. I contacted my buddy from grad school. He still hasn't found anything even after 5 1/2 years....
35,What are some jobs other than HR and what’s their salary?
31,What are some adjacent job titles I can search for that might not be 100% related to IO but close enough where an I/O MA would still be somewhat relevant
30,Breaking into I/O
31,for phds.. regrets on doing a phd?
29,Is I-O psychology still relevant in 2026?
28,New PhD feeling unsure about applied job market
28,What’s the #1 challenge stopping HR from shaping company culture where you work?
26,"For anyone that got an I/O degree for the security of a job, rather than the passion for the field, what are you doing?"
25,Psychometricians Discord Community
25,Finding a job
22,SIOP releasing my personal info?
24,What did you do with your M.S. I-O degree when you first graduated?
24,Do practicing I/O Psychologists actually use the Big Five (OCEAN)?
23,scared i have committed to traditional hr
23,Where are the entry-level experience roles for IO psychologists heading?
24,Looking for Current/Prospective student's to apply to our PhD Program. Binghamton University PhD in Management
23,What is bad in the job market and why?
22,r/psychometrics has reopened! I'm the new moderator!
22,Purdue I-O PhD Virtual Info Session
21,Looking to connect with peers
19,Anyone have a headhunter referral?
20,What are some negative traits you’ve seen from people who don’t go far in your field?
22,Reflective Question for Fellow I-O Practitioners: What Commonly Accepted Practices Have You Seen Cause Unintended Harm?
20,I/O Psychologists’ ROI for a company?
20,What motivated you to choose I/O psychology compared to other fields of psychology?
20,Transition from people analytics to business analytics (and back)
20,Is IO more of a focus on Human Resources or Psychology
18,Job Advice for M.S. IOP
20,Lost in I/O Psych - Update
20,A.I Taking Over
19,2026 SIOP Decisions ?
19,Launching a A Community Dedicated to Survey Fraud Detection
18,Data Analysts
18,Question about the reality of organizational psych. Need help
18,Are data analyst certifications worth it?
17,skills to brush up on
18,Career Advice as an Unsure PhD
17,"New Research: How ""Digital Climate"" Impacts Employee Wellbeing During Digital Transformation"
16,What are some of the must-read classic articles in the field of organizational behavior?
15,This is like that Edwardo Salas article all over again
15,"Talent Management Program Manager in Cupertino, CA"
16,Is I/O Psych good for Organizational Development
15,When someone says IO Psych? So... like therapy at work?
15,Where do you see the biggest disconnect between IO research and People Analytics practice?
15,Will a Master's In IO Psychology Be Worth It?
15,Must read books to understand/work with blue collar workers?
15,State of debate/research on manager effectiveness &amp; manager-employee relationship?
14,Why ruthless characters rise at work and why some managers choose them
15,Are there any organizational leaders here who have been impacted by DEI backlash and retrenchment policies? [United Stated]
14,I/O Psychology Career Paths
15,OPM formally proposes limiting top performance ratings for federal workers
14,Need career advice
13,Question re the tech stack used regularly as an I/O Psych
15,Regarding AI and Learning &amp; Development
13,Good podcasts on IO Psych?
14,IO Psych job market?
15,"About to graduate my master's in IO, any recommendations for essential readings for people entering the job market?"
15,"IO psychology openhouse at Montclair State University, Oct 26"
15,How to Break Into the I/O Psychology Field
14,Current IO professionals: How much do you use what you learned?
13,Where to start with freelancing / independent consulting?
15,Internship Help
13,Single (not poster) SIOP submissions - worth pursuing?
13,Edgar Schein's Organizational Culture Model and underlying assumptions
